,id,page_name,status,header,dynamicPage,itemResultsCount,searchCount,primary_url,secondary_url,note,error_status,error_response
133,1455192,buy:matt-adams,live,Matt Adams,,,,/search/?q=matt%20adams,nan,Generated using custom generation script,ERROR,"{""error"": {""type"": ""ZeroResultsError"", ""message"": ""There are no items for provided search term.""}}"
134,1506392,buy:large,scheduled,Large,,,,/search/?buyPageVariant1=true&q=large,nan,Dynamic buy pages endpoint: Found probable duplicates! http://internal-mario-buyer-services-1695447112.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=large,ERROR,"{""error"": {""type"": ""SearchTermError"", ""message"": ""The normalized search term is too short, it must contain two or more words."", ""searchTermData"": {""original"": ""large"", ""normalized"": ""large"", ""latinised"": ""large""}}}"
135,1508442,buy:flamenco-dancer-painting,scheduled,Flamenco Dancer Painting/,,,,/search/?buyPageVariant1=true&q=flamenco+dancer+painting,/art/drawings-watercolor-paintings/,Dynamic buy pages endpoint,SUCCESS,
136,1455962,buy:collectors-plates,live,Collectors Plates,,,,/search/?buyPageVariant1=true&q=collectors+plates,/creators/erte/art/,Generated using custom generation script,SUCCESS,
137,1468762,buy:andy-warhol-flowers,live,Andy Warhol Flowers,,,,/search/?buyPageVariant1=true&q=andy+warhol+flowers,/creators/andy-warhol/art/,Generated using custom generation script,SUCCESS,
138,1473882,buy:red-figure-vases,live,Red Figure Vases,,,,/search/furniture/?buyPageVariant1=true&q=red+figure+vases,/furniture/decorative-objects/vases-vessels/,Generated using custom generation script,SUCCESS,
139,1505882,buy:pulegoso-foam,scheduled,Pulegoso Foam,,,,/search/furniture/?buyPageVariant1=true&q=pulegoso+foam,/furniture/,Dynamic buy pages endpoint,SUCCESS,
140,1507162,buy:tall,scheduled,Tall,,,,/search/furniture/?buyPageVariant1=true&q=tall,nan,Dynamic buy pages endpoint: Found probable duplicates! http://internal-mario-buyer-services-1695447112.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=tall,ERROR,"{""error"": {""type"": ""SearchTermError"", ""message"": ""The normalized search term is too short, it must contain two or more words."", ""searchTermData"": {""original"": ""tall"", ""normalized"": ""tall"", ""latinised"": ""tall""}}}"
141,1455452,buy:shot-glasses,live,Shot Glasses,,,,/search/?buyPageVariant1=true&q=shot+glasses,/furniture/dining-entertaining/,Generated using custom generation script,SUCCESS,
142,1454942,buy:cavalier-king-charles,live,Cavalier King Charles,,,,/search/furniture/?buyPageVariant1=true&q=cavalier+king+charles,/creators/charles-valton/furniture/,Generated using custom generation script,SUCCESS,
